content,score
Tambahin fitur keamanannnya dong bang operator,2
Sangat baik,3
whatsapp sangat membantu saya dalam berkomunikasi,5
Top,4
Ok,5
"pls hapus lahhh fitur 1× lihatttt, foto acayy kuuuuuu ga bisaa kuuuu sepppp, markkkkkk hapusss laahhh huftttttttt SEKARANGGGGGGG",1
luar biasa,5
Saya semangat,5
banggunan,5
bagus,4
aplikasi yg baguss,5
"Sithik sithik kon update,capai deh",5
Mantab,5
Mau masuk gagal terus,5
"Sementara saya kasih bintang satu, sebab WhatsApp saya tidak bisa di gunakan dengan alasan spam yang saya tidak mengerti",1
Setelah afdate suka ngelek pdahal hp ram gedek,1
"Saya SDH klik pas gambar buah dg tepat ,skrg mana hadiah nya",5
tolong ada bug ini diperbaikin lagi sekarang WA ga bisa bls orang,2
Bagusss,5
Terlalu sering untuk mengupdate sampai memoriku penuh dan sekarang saya tidak bisa mengupdate nya karna memori saya penuh dan tidak bisa di update lagi,1
Sangat cocok,5
ok,5
bagud,5
Aplikasi nya bagus,5
terlalu sering apgred,5
Blon punya pengalaman,4
suka aja tapi kadang ga bisa dibuka gak ada tulisan apa apa trus langsung keluar trus.... lanjut part 2 heheehehehe,5
lagi ada masalah kah min? aku siap kok jadi pendengar mu,3
status dlm bentuk video jelek banget kualitas nya.. mana udah diklik kirim ada lagi ada lagi.. eror.. ga jelas.,1
baik.,5
sangat bagus,4
Sukses,5
Sngat puas,5
Mantul banget.,5
"Aplikasi ini hilang, di menu utama, walaupun sudah di instal ,TDK muncul,",5
"wa nya belum ada fitur terbarunya seperti ada musik,efek, DLL kenpaaa yaa",4
mantap,5
sangat membantu,5
bagus aku sukak!!,5
Bgus,5
Ko akun saya diblokir terus oleh pihak whatsaap kenapa yah mohon dipulihkan kembali akun saya supaya bisa login terima kasih,5
Febriana manlimas,5
Diupdate malah makin jelek.. Kacau..,1
setelah di update notifikasi telpon tidak muncul/ atau tidak kelihatan. harus masuk ke aplikasi whatsapp dulu baru kelihatan. notifikasi pesan juga tidak muncul di halaman telepon.,3
Mantap,5
kenapa whatsapp saya tidak bisa membuat saluran?,5
mantap,5
Bagus banget,5
Mohon bantuannya wa sy tidak berfungsi,5
Mantap,1
gooooooooddd...,5
Bagus Yang paling banyak adalah orang yang tidak dapat lari daripada di dalam hati,5
mantap,5
"Apk yang bagus buat ngabar""",5
"WhatsApp messenger untuk Android sangat baguss, aplgi saat bwt iPhone",5
Baguss sangat membantu,5
sebenar nya WhatsApp sudah sangat bagus untuk fitur' nya cuma saran saya untuk menambah kan fitur liat pesan yang sudah di hapus gitu aja terima kasih.,5
sangat terbantu dalam komunikasi,5
Aplikasi yang bijak,5
Bagusss,5
Ok,5
"Paan wa gw dpkek jiga GK bisa"" ny dkluarin sndri krna plnggrann situ sehat...mng yg salah apa mang wa gw gnain buat sp njir baru bikin jug cok",1
mungkin kalau di kasih fitur live seru tu wkwk,5
Saya sangat menyukai karena saya bisa menelpon atau mengechat saudara saya yang jauh,5
Bagus apli kasi ini memban tu saya untuk berkomunikasi dengan orang orang yang jauh dan sekaran ada pitur Al,5
Mantap,5
Bagus,5
Bagus,5
Bagus sebenernya tapi emang gitempatku aja atau gimana klo bikin story berupa video kaya gak hd gtu jadi pecah fotonya/gambarnya?? Yg tau bisa info dong,5
Whatsap tidak bisa di gunakan,5
Aku saka WhatsApp,5
"Aplikasi ini bagus sekali,5 Bintang dari saya top pokonya👍",5
Ok,5
Keren,5
Buntu.ĺagigangur,5
Aku suka whatsApp karena canggih banget,5
Bagus,5
Aku bisa telpon,5
Whatsapp tidak mau di buka dari aplikasi kalo dari history mau pusing saia,1
saya tidak bisa membuka WhatsApp,2
sangat sempurna sekali,5
mntap&jernih suaranya,4
"Aplikasi android yang sangat berarti bagi kita semua dalam berkomunikasi segala hal, di dunia maya.",5
Ok,5
Siip,5
Good job,5
Keren,5
Mantap,5
Ngak sabar dengan kejutan baru untuk menambahkan status music di WhatsApp. Berharap di WhatsApp Business juga akan ada.,5
Kasih fitur TRANSLATE biar enak,3
Kecewa wa harus update tiap hari itupun nunggu 24jam tiap hari begitu kena spam trs,1
Mantap,2
Oke,5
tema default saya hilang tiba tiba setelah update,2
Paya co da bisa kirim kode nya udah dari bulan Januari sapa bulan Juli belum kirim kode co apa lahh payahhh,1
Video call jelek banget. Cacat brutal. Kayak mata kita minus 5. Padahal hp ku rog phone 8. Temen ku iPhone 15,1
ʙᴀɢᴜs,5
Kenapa WhatsApp saya harus memerlukan versi ori padahal saya pake WhatsApp ori sangat menyalkan,5
Mantap,5
Sangat memuaskan,5
Ingin melanjutkan belajar trs,5
Saya cuman ingin mengdonglot aplikasi whatsapp,5
Membantu,5
"saya tidak melakukan kesalahan apapun, mengapa akun saya selalu terkena ban karena spam?",1
TDK ad,5
"Parah ngelag notifikasi ga muncul sering tiba""offline kalo keluar aplikasi anehh WA sekarang",1
Wa nggak bisa di buka,5
Saya sangat suka sama aplikasi inih jadi ga bisa ke buka karena spam terus kenapah bisa gituh ya,1
Gajelas suka gada suara pas telepon status suka burik,1
Bagus,5
Sesuai dan baguss,5
Enak,5
Good,5
"Fitur fitur nya makin update, terbaik 💯",5
Siip,5
"pokok nya cuman wa doang sih yang paling bagus dari aplikasi chat yang lain,selain itu wa yang paling gampang untuk digunakan",5
Saya tidak bisa masuk wa setiap masuk wa selalu saja di bilang nomor anda belum di verifikasi dan tidak menggunakan wa resmi padahal sudah gunakan wa resmi.. bantuan nya gan,2
okre,5
"Semenjak di update whatsapp jelek, lemot dan gak bisa dibuka. Bener2 kecewa",1
saya tertarik tapi saya belum tahu caranya,1
guaa awalnya coba coba download wa ini broo udh gituu makin lama makin gjls ajaa ini wa notif ngga muncul status ilang yaa karena kaga ada yang cht guaa gituu,1
Sip bagus,5
Sangat membantu,5
Sangat bagus,5
Wa ku kok belum dapat ai sampai sekarang?,3
Blm ada filter terbaru di watsap saya,4
Kecewa,3
knapa di sini ga bisa instal wa,5
Di aku blum ada fitur musik min:( padahal temenku ada dan dia ga beta,3
bagus,5
Please add dark mode,5
Cara menambahkan musik di story whatsapp,5
Baguss tapi di aku gak Ada love ijo nya,4
good,4
punya saya ngga bisa ngelove,1
Ampas bgt bikin grup arisan kena banned,1
Ok lah,5
Terima kasih saya sngat puas dngan aplikasi ini,5
Memuaskan,5
nomor Penting,5
Sering Eror 🙏,4
good,5
bagus,5
Keren wa ku,5
"Untuk pihak WhatsApp tolong bangat, kalo kita bikin story jangan lah buat buram Minimal buatkan lah fitur hd nya juga jangan hanya di chat",1
"Bagus . Untuk update kedepannya semoga bisa ubah warna buble chat di WhatsApp, seperti org2",3
bagus banget tapi gada fitur ai yang orang lain ada,5
mantap... 👍🥳,5
Update status jam nya sekarang gak teratur 🙈,2
"Halo team WhatsApp, tolong dimunculkan tanda updatenya buat wa saya pengen update tapi tidak ada segera ya tolong, terimakasih",3
Full,5
whatsapp burik banyak bug mnyt foto profil muncul pake foto orang bikin gua dimarahin pacar gua sial,1
